Date,WUSTL,AirNow,MERRA-2
2020-01-13,56.34838522634199,44.10434782608696,54.100308588544976
2020-01-14,55.277417582850305,152.00833333333333,94.31634069301253
2020-01-15,54.20644993935862,57.34583333333333,65.7173849560877
2020-01-16,53.135482295866936,102.8125,63.005607131572106
2020-01-17,52.06451465237525,140.2125,99.24304080755064
2020-01-18,50.99354700888357,128.2875,107.2673498470067
2020-01-19,49.92257936539188,367.475,78.48292327139461
2020-01-20,48.8516117219002,197.5,66.80819950588557
2020-01-21,47.780644078408514,187.06956521739133,83.561898378548
2020-01-22,46.70967643491683,204.0625,119.63657442493059
2020-01-23,45.638708791425145,200.9958333333333,174.18766589116785
2020-01-24,44.56774114793347,238.04999999999998,179.20300052765015
2020-01-25,43.496773504441784,171.52608695652174,117.75190671414748
2020-01-26,42.4258058609501,151.96666666666667,109.75815243341458
2020-01-27,41.354838217458415,144.37083333333334,125.21430861056615
2020-01-28,40.28387057396674,130.1625,105.55166838344121
2020-01-29,39.21290293047505,143.35,61.96243802492063
2020-01-30,38.14193528698337,102.66250000000001,41.84959330189031
2020-01-31,37.070967643491684,110.65416666666665,61.48441791253845
2020-02-01,36.0,122.45652173913044,59.74423373800164
2020-02-02,36.11034485389446,81.64999999999999,27.815235092987223
2020-02-03,36.22068970778893,89.63478260869564,30.850681120853096
2020-02-04,36.33103456168339,65.72916666666667,32.53935005886888
2020-02-05,36.441379415577856,47.75833333333333,39.607436619348846
2020-02-06,36.55172426947232,47.40416666666667,37.32464932681978
2020-02-07,36.662069123366784,39.46086956521739,32.9385805741822
2020-02-08,36.772413977261245,56.130434782608695,22.089402307301498
2020-02-09,36.88275883115571,74.74583333333334,43.53510227872448
2020-02-10,36.99310368505017,85.85416666666667,57.30864529596147
2020-02-11,37.10344853894464,183.35,176.48257539804035
2020-02-12,37.2137933928391,271.9458333333333,133.8740887035783
2020-02-13,37.32413824673357,164.95833333333334,113.41798042963092
2020-02-14,37.43448310062803,122.14999999999999,76.22442694810161
2020-02-15,37.544827954522496,137.10434782608695,53.14696203129188
2020-02-16,37.65517280841696,70.425,48.315913758756324
2020-02-17,37.765517662311424,57.34583333333333,41.27501895823116
2020-02-18,37.875862516205885,61.979166666666664,34.98394214318523
2020-02-19,37.98620737010035,85.75416666666666,35.616497129353775
2020-02-20,38.09655222399481,113.4304347826087,51.79930866461291
2020-02-21,38.20689707788928,105.92916666666667,52.273396633495395
2020-02-22,38.31724193178374,119.2695652173913,54.964661089229594
2020-02-23,38.42758678567821,77.31666666666666,79.13234227885368
2020-02-24,38.53793163957267,61.475,58.234704525261805
2020-02-25,38.64827649346714,103.28333333333335,82.26680137113362
2020-02-26,38.7586213473616,111.70416666666667,66.66109158004474
2020-02-27,38.868966201256065,128.88750000000002,60.859737516238965
2020-02-28,38.979311055150525,149.29999999999998,119.32596066799306
2020-02-29,39.08965590904499,117.77142857142856,98.75310382767566
2020-03-01,39.20000076293945,71.17916666666666,46.76935780878466
2020-03-02,38.84516205326204,55.34583333333333,35.007091625516296
2020-03-03,38.49032334358461,77.1125,45.23281020851755
2020-03-04,38.1354846339072,92.47083333333335,47.784067902512106
2020-03-05,37.78064592422977,107.77499999999999,56.75463476961795
2020-03-06,37.42580721455236,108.575,45.0066412582828
2020-03-07,37.07096850487494,82.81666666666666,30.521859351040348
2020-03-08,36.71612979519752,78.05,30.38200784288847
2020-03-09,36.3612910855201,58.65416666666667,32.59404905975316
2020-03-10,36.00645237584268,61.35,57.11727553148194
2020-03-11,35.65161366616526,81.00833333333334,61.72230619938546
2020-03-12,35.29677495648784,118.06666666666666,37.20867276513218
2020-03-13,34.94193624681042,44.49166666666667,31.258377930498682
2020-03-14,34.587097537133005,91.54166666666667,41.8727900353133
2020-03-15,34.23225882745558,88.64166666666667,50.80668188384152
2020-03-16,33.877420117778165,80.02499999999999,58.469624875101545
2020-03-17,33.52258140810074,84.37083333333334,46.65876005560676
2020-03-18,33.167742698423325,80.65833333333333,41.817209961436674
2020-03-19,32.8129039887459,106.89999999999999,33.41348708829628
2020-03-20,32.458065279068485,61.539130434782614,34.030420792419136
2020-03-21,32.10322656939107,121.2,45.86877899726005
2020-03-22,31.748387859713645,157.27083333333334,41.39680207515539
2020-03-23,31.39354915003623,109.95652173913044,45.53127297413084
2020-03-24,31.03871044035881,90.5125,45.97390024230208
2020-03-25,30.68387173068139,112.91666666666667,32.907324509778846
2020-03-26,30.32903302100397,110.3875,26.608328695942873
2020-03-27,29.97419431132655,159.2875,28.546486774416735
2020-03-28,29.619355601649133,83.99130434782609,34.3927233359409
2020-03-29,29.26451689197171,39.699999999999996,44.23240405060369
2020-03-30,28.909678182294293,62.99166666666667,39.679667551695275
2020-03-31,28.554839472616873,77.15416666666667,27.835587879110335
2020-04-01,28.200000762939453,56.31363636363637,28.906051596777615
2020-04-02,28.36666742960612,49.24583333333334,20.399898836842567
2020-04-03,28.533334096272785,43.1625,11.467013472099552
2020-04-04,28.700000762939453,38.42916666666667,16.610552400209144
2020-04-05,28.86666742960612,55.09166666666667,24.330607573119778
2020-04-06,29.033334096272785,84.74545454545455,17.733404789055385
